Male,Female,SeniorCitizen,Partner,Dependents,LessOneYear,oneToThreeYears,ThreePlusYears,MultipleLines,DSL,FiberOptic,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,CreditCard,BankTransfer,MailedCheck,ElectronicCheck,MonthlyCharges,TotalCharges,Churn
1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,42.9,108.15,1
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,43.3,151.65,1
0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,43.55,820.5,1
1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,43.75,1949.4,0
0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,43.8,3046.05,1
1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,43.8,587.45,0
1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,43.8,5036.3,1
1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,43.85,2686.05,0
0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,43.9,528.35,1
0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,43.95,1862.9,0
1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,43.95,2970.3,0
0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,43.95,1530.6,0
1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,44,4749.15,1
0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,44,1093.1,1
1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,44,181.65,0
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,44,45.25,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,44,316.9,1
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,44.05,3548.3,0
1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,44.05,3549.25,1
0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,44.05,1105.4,1
0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,44.1,981.45,0
0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,44.15,3906.7,0
